lon,lat,jobs
4.76342,45.90258,4.4
4.76272,45.90976,1.6
4.76238,45.91336,1.6
4.76203,45.91695,1.6
4.79799,45.56849,40.5
4.79782,45.57029,4.2
4.79765,45.57208,78.3
4.79423,45.60802,18.8
4.79406,45.60982,1.8
4.79389,45.61162,44.1
4.79046,45.64756,8.2
4.78995,45.65295,1.6
4.78875,45.66553,72.7
4.78789,45.67451,1.5
4.78772,45.67631,49.3
4.78755,45.67811,390.5
4.78738,45.67990,31.2
4.78721,45.68170,5.4
4.78669,45.68709,1.5
4.78652,45.68889,16.6
4.78583,45.69608,1.5
4.78463,45.70865,1.5
4.78446,45.71045,1.5
4.78429,45.71225,1.5
4.78377,45.71764,3.6
4.78360,45.71944,1.8
4.78325,45.72303,7.0
4.78257,45.73022,1.4
4.78153,45.74100,38.8
4.78119,45.74459,2.8
4.78102,45.74639,3.2
4.78085,45.74819,1.8
4.78067,45.74998,41.0
4.78050,45.75178,93.2
4.78033,45.75358,23.2
4.78016,45.75537,70.9
4.77998,45.75717,107.3
4.77981,45.75897,89.2
4.77964,45.76076,89.2
4.77947,45.76256,310.8
4.77930,45.76436,216.4
4.77912,45.76615,94.2
4.77895,45.76795,34.6
4.77878,45.76975,3.3
4.77861,45.77154,4.9
4.77843,45.77334,57.3
4.77826,45.77514,678.2
4.77809,45.77693,60.6
4.77792,45.77873,40.9
4.77774,45.78053,1.6
4.77757,45.78232,9.8
4.77688,45.78951,121.7
4.77654,45.79311,8.2
4.77585,45.80029,31.6
4.77567,45.80209,218.0
4.77550,45.80389,155.6
4.77533,45.80568,190.2
4.77516,45.80748,364.6
4.77498,45.80928,383.4
4.77481,45.81107,578.2
4.77464,45.81287,1452.2
4.77447,45.81467,1334.1
4.77429,45.81646,19.6
4.77412,45.81826,4.6
4.77395,45.82006,14.6
4.77378,45.82185,4.6
4.77360,45.82365,1.3
